time_s,target_azimuth_deg,target_elevation_deg,imu_roll_deg,imu_pitch_deg,qpd_error_x,qpd_error_y
1.05000,120.04937,30.01478,5.09742,6.51047,0.10919,0.14914
1.06000,120.01440,30.15698,4.87623,6.30692,0.11231,0.14356
1.07000,119.90251,30.23231,5.25297,6.35583,0.10532,0.14341
1.08000,120.23279,29.95294,4.95057,6.09095,0.12246,0.13528
1.09000,119.99179,30.04041,5.08799,6.11491,0.10652,0.14651
1.10000,119.89407,30.03486,5.10769,6.12991,0.11041,0.15052
1.11000,119.98627,29.95524,5.11975,6.13563,0.10923,0.11591
1.12000,120.00062,29.99750,5.46638,6.13497,0.13694,0.11013
1.13000,119.97209,30.07730,5.37580,6.20050,0.11589,0.13745
1.14000,120.11337,30.10669,5.28621,6.25727,0.09346,0.13559
1.15000,120.13395,30.00419,5.28048,5.98683,0.12890,0.10909
1.16000,120.20123,30.01451,5.19132,6.11299,0.12266,0.14453
1.17000,119.90459,29.97144,5.29728,6.01708,0.11864,0.14090
1.18000,119.94578,29.92345,5.75477,5.82289,0.11579,0.13790
1.19000,119.99649,30.11055,5.22595,5.86008,0.12711,0.13502
1.20000,119.90305,30.17239,5.44696,5.97612,0.12512,0.13117
1.21000,120.00298,30.01160,5.41940,5.54657,0.11923,0.12213
1.22000,119.91398,30.17296,5.44520,5.93513,0.10687,0.13098
1.23000,120.14594,29.96460,5.60280,5.88079,0.11246,0.13790
1.24000,119.88260,30.12217,5.70589,5.72151,0.13972,0.14020
1.25000,120.02439,30.13313,5.74225,5.52503,0.13199,0.14118
1.26000,120.05192,30.18984,5.74296,5.84871,0.12566,0.13176
1.27000,119.97543,30.12602,6.19624,5.53029,0.10909,0.14551
1.28000,120.07369,30.20676,5.50395,5.79854,0.12571,0.11827
1.29000,119.98519,30.17639,5.94907,5.66796,0.12039,0.12555
1.30000,119.99419,29.97418,5.66507,5.35443,0.13351,0.12307
1.31000,119.84349,30.12764,5.46150,5.42515,0.13087,0.15144
1.32000,120.00041,30.14202,5.82620,5.34703,0.13637,0.12679
1.33000,120.06417,30.18529,5.81631,5.22646,0.11882,0.12735
1.34000,120.07857,30.06766,5.85992,5.27368,0.15009,0.11444
1.35000,119.88340,30.07339,5.84717,5.42952,0.15303,0.13626
1.36000,120.00769,29.95763,6.09402,5.38998,0.14034,0.12272
1.37000,120.00757,30.16599,5.91672,5.18441,0.14164,0.11079
1.38000,119.85494,30.10007,6.41189,4.96266,0.15502,0.10700
1.39000,119.99401,30.11365,6.32414,5.11802,0.13264,0.12592
1.40000,120.11907,29.94663,6.38371,5.12645,0.14189,0.12890
1.41000,120.00292,30.12661,6.32136,5.02423,0.16329,0.12214
1.42000,119.99445,30.03250,6.23706,4.87528,0.13958,0.13071
1.43000,119.99516,30.14505,6.51644,4.99514,0.12199,0.11950
1.44000,120.04260,30.15010,6.35209,5.04683,0.15663,0.13071
1.45000,120.05094,30.21662,6.25036,4.94289,0.16102,0.13634
1.46000,119.96098,30.05067,6.37187,4.85437,0.13837,0.11178
1.47000,119.94548,30.08944,6.11644,4.97528,0.16476,0.11244
1.48000,119.89861,30.02724,6.16791,4.76525,0.16029,0.10543
1.49000,120.06577,30.14244,6.47583,4.72546,0.16283,0.13158
1.50000,119.89430,30.03362,6.22822,4.58065,0.14010,0.13894
1.51000,119.98992,30.05859,6.47094,4.54450,0.14402,0.10856
1.52000,120.07189,30.08844,6.40325,4.44937,0.14691,0.12421
1.53000,120.03033,30.11899,6.53941,4.59825,0.13218,0.10621
1.54000,119.82578,30.13767,7.05825,4.81423,0.14261,0.10920
1.55000,119.99035,30.04969,6.59102,4.76572,0.18736,0.12408
1.56000,120.09503,30.12849,6.64999,4.61105,0.12063,0.11634
1.57000,120.10171,30.11689,6.51821,4.58208,0.16913,0.14284
1.58000,120.13711,30.10021,6.96004,4.08180,0.14840,0.11804
1.59000,120.06543,30.13058,6.51437,4.44559,0.13376,0.11436
1.60000,120.02197,30.06685,6.65605,4.23579,0.13760,0.10255
1.61000,120.09384,30.24602,6.73615,4.36338,0.15692,0.10958
1.62000,119.96049,30.12676,6.84362,4.26811,0.15056,0.10870
1.63000,120.06546,30.15510,7.25615,4.12673,0.17355,0.09346
1.64000,120.10265,30.15397,6.75746,4.10815,0.17437,0.12201
1.65000,119.97009,30.09471,6.73656,4.26267,0.17282,0.12035
1.66000,120.05832,29.95552,6.77526,4.10942,0.15530,0.09577
1.67000,120.08672,30.12205,6.95969,3.84461,0.15162,0.11370
1.68000,120.02426,30.05503,6.93430,3.98012,0.18052,0.10594
1.69000,120.12247,30.09549,7.12934,3.66789,0.14420,0.08990
1.70000,120.12121,30.05275,6.98564,3.84776,0.15942,0.11518
1.71000,120.04112,30.26226,6.84006,3.83256,0.17023,0.09078
1.72000,119.97797,30.07530,7.02836,3.61041,0.14988,0.11349
1.73000,119.99770,30.15349,7.10688,3.77466,0.17522,0.11863
1.74000,119.98576,30.04642,7.00500,3.79822,0.15667,0.11293
1.75000,120.01253,30.00731,7.00078,3.99205,0.18164,0.11718
1.76000,119.89015,30.20614,7.29003,3.71583,0.14680,0.11180
1.77000,119.98795,30.08638,7.61810,3.56717,0.17864,0.09615
1.78000,120.03795,30.08213,7.22737,3.57529,0.15835,0.11285
1.79000,120.01431,30.03550,7.05064,3.33679,0.16239,0.11270
1.80000,120.09304,30.07690,7.06608,3.63445,0.17063,0.09450
1.81000,119.99809,30.13200,7.00624,3.11640,0.17666,0.10089
1.82000,120.02338,30.17397,6.88009,3.49950,0.14609,0.11247
1.83000,119.81666,30.14224,7.15577,3.36492,0.18382,0.09534
1.84000,119.96600,30.03851,7.53807,3.25760,0.15040,0.10705
1.85000,120.07838,29.92498,7.31775,3.43991,0.16016,0.12135
1.86000,119.94269,30.18563,7.43916,3.00326,0.17512,0.08829
1.87000,120.00758,30.22638,7.41551,3.05222,0.16732,0.11800
1.88000,120.10960,30.12104,7.41261,2.85076,0.17459,0.10323
1.89000,120.18629,30.15874,7.55995,2.73204,0.16964,0.09411
1.90000,119.99673,30.09714,7.67280,2.97380,0.19191,0.08972
1.91000,119.92112,30.17850,7.54327,2.99349,0.18698,0.09247
1.92000,120.03182,29.97587,7.24471,2.90615,0.17848,0.11080
1.93000,120.07771,30.15815,7.61451,2.71235,0.17962,0.10512
1.94000,120.10623,30.09142,7.49099,3.26607,0.16538,0.09248
1.95000,120.07145,29.94039,7.61006,2.56499,0.17195,0.09726
1.96000,120.05039,30.11411,7.38497,2.85164,0.17940,0.12053
1.97000,120.02569,30.04790,7.53091,2.69408,0.17356,0.08954
1.98000,119.92525,30.10562,7.61574,2.42094,0.18323,0.08295
1.99000,120.12648,30.09666,7.76826,2.73031,0.15935,0.09440
2.00000,119.93163,30.01142,7.53814,2.32746,0.19179,0.10614
2.01000,119.94312,29.94830,7.70095,2.57213,0.18368,0.12172
2.02000,120.11694,30.12487,7.70007,2.19213,0.17672,0.10345
2.03000,120.01143,30.10419,7.40424,2.42050,0.19218,0.09576
2.04000,120.18375,30.13164,7.90638,2.42744,0.17765,0.08827
2.05000,120.06223,30.08446,7.67995,2.33002,0.17545,0.10572
2.06000,120.07940,30.07751,7.63326,2.15995,0.16840,0.09266
2.07000,119.96909,30.15530,7.69923,2.06235,0.18219,0.09267
2.08000,120.01607,30.11201,7.73308,1.94126,0.16683,0.08427
2.09000,119.94507,30.02640,7.70011,2.16095,0.19288,0.09230
2.10000,120.00910,30.14265,8.02359,1.86472,0.19091,0.08683
2.11000,119.95911,30.03779,7.83585,1.73870,0.19112,0.05916
2.12000,120.07712,30.00520,7.96366,1.79879,0.18321,0.08380
2.13000,120.10893,29.97618,7.76340,1.89563,0.18972,0.09146
2.14000,120.03077,30.04518,7.96286,1.77483,0.18816,0.06897
2.15000,120.05950,30.02823,7.78962,1.89278,0.17663,0.07785
2.16000,120.06995,30.12587,7.75745,1.70949,0.17917,0.06496
2.17000,119.95976,30.12540,7.69376,1.70357,0.18136,0.07972
2.18000,120.02804,29.96362,7.70189,1.55404,0.18613,0.08335
2.19000,120.05398,30.13780,7.90847,1.73724,0.18566,0.08403
2.20000,120.16662,30.20249,8.05634,1.34578,0.17573,0.07922
2.21000,120.05751,30.18468,7.77218,1.48614,0.18550,0.07357
2.22000,120.08527,30.23339,7.94969,1.56878,0.15568,0.07590
2.23000,120.12838,30.07680,7.58559,1.56380,0.20160,0.05873
2.24000,120.02970,30.10264,7.97634,1.19728,0.18719,0.09273
2.25000,120.08171,30.07571,7.94202,1.09437,0.19362,0.07808
2.26000,119.91431,30.01945,7.88307,1.20235,0.18259,0.07450
2.27000,120.15890,30.04823,7.83537,0.83343,0.19486,0.05721
2.28000,119.90515,30.22096,7.74385,1.37376,0.18610,0.06380
2.29000,119.98692,30.02032,7.86547,1.28875,0.18994,0.08192
2.30000,120.01985,30.03835,8.12509,0.82169,0.19141,0.08278
2.31000,120.04560,29.84115,7.92421,1.05229,0.18400,0.05830
2.32000,119.95285,30.00967,7.90098,1.03669,0.17415,0.08112
2.33000,119.97442,30.14613,7.74125,0.61599,0.20040,0.06240
2.34000,120.07858,30.05295,7.70218,0.71009,0.19796,0.07251
2.35000,120.03459,30.03955,8.01067,0.93228,0.17269,0.05160
2.36000,120.06147,30.08520,8.10079,0.87403,0.17718,0.06055
2.37000,120.06544,30.16708,7.93716,0.52475,0.18670,0.06311
2.38000,120.05528,30.11743,8.28194,0.58295,0.20636,0.07053
2.39000,120.08134,30.14411,7.85797,0.48133,0.20680,0.06722
2.40000,120.06694,30.00451,7.91355,0.58109,0.18329,0.07880
2.41000,120.02290,30.08250,8.04245,0.40578,0.18203,0.07677
2.42000,119.95855,30.00912,7.65550,0.38660,0.19163,0.05689
2.43000,119.98637,30.08351,8.01987,0.65042,0.19000,0.09848
2.44000,119.97349,30.06870,7.82499,0.27537,0.20774,0.07241
2.45000,120.16234,30.07341,8.21836,0.36280,0.19434,0.05727
2.46000,120.05151,30.14877,7.89114,-0.01733,0.21210,0.07217
2.47000,119.98568,29.98082,8.32435,0.14415,0.19658,0.06958
2.48000,120.09383,30.01106,7.74929,0.21795,0.19777,0.07582
2.49000,120.00003,30.06781,7.93033,-0.04703,0.20203,0.05533
2.50000,119.93899,30.18790,8.17712,0.06139,0.21562,0.07443
2.51000,120.00058,30.08210,7.68082,-0.17649,0.19913,0.06882
2.52000,120.05140,30.14891,7.85342,-0.16260,0.16131,0.05060
2.53000,120.05418,30.25275,8.16976,-0.40175,0.19902,0.07705
2.54000,119.96716,30.17247,7.95036,-0.55675,0.21583,0.04136
2.55000,120.12532,30.07508,7.76184,-0.45553,0.20008,0.05904
2.56000,120.03984,30.00001,7.91530,-0.35511,0.19426,0.05992
2.57000,120.12002,30.20925,8.10680,-0.15481,0.20064,0.06308
2.58000,119.98577,30.10511,7.94552,-0.47164,0.19866,0.06147
2.59000,120.05617,30.10914,8.08327,-0.47085,0.21107,0.06586
2.60000,120.07744,30.08911,7.84169,-0.51276,0.19596,0.05272
2.61000,120.00702,29.99181,8.08744,-0.48857,0.19977,0.05598
2.62000,119.95370,30.28222,7.65803,-0.38659,0.20018,0.07042
2.63000,120.18270,30.00622,8.21550,-0.59282,0.19665,0.03657
2.64000,120.04607,30.28307,8.03158,-0.81000,0.21231,0.04588
2.65000,120.03183,30.13070,7.87985,-0.86571,0.18684,0.06269
2.66000,120.05789,30.06330,8.07629,-0.83931,0.20583,0.07173
2.67000,119.96421,30.09943,7.91801,-0.69665,0.20240,0.06022
2.68000,120.17054,29.94548,7.84020,-0.63502,0.18383,0.06607
2.69000,119.97392,30.14292,7.74646,-0.92189,0.21527,0.04163
2.70000,119.91161,29.99643,8.24293,-0.76105,0.19825,0.04714
2.71000,119.93568,30.07068,7.72677,-1.43638,0.19333,0.03917
2.72000,120.09217,30.18765,8.09469,-0.97313,0.19010,0.05794
2.73000,120.03209,30.00081,7.99459,-1.32436,0.20564,0.04805
2.74000,120.04647,30.14216,8.06064,-1.25285,0.19083,0.05354
2.75000,120.01505,30.14246,7.98014,-1.30455,0.21189,0.04000
2.76000,119.90602,30.18989,7.95985,-1.39790,0.18760,0.03642
2.77000,120.05700,30.06059,7.95289,-1.32315,0.19143,0.07092
2.78000,120.06688,30.08893,7.97701,-1.26836,0.22063,0.05376
2.79000,120.06714,30.14984,7.78438,-1.41313,0.20966,0.04505
2.80000,120.01751,30.09240,7.95172,-1.33885,0.17901,0.05073
2.81000,120.02210,30.05215,7.88555,-1.65426,0.21050,0.03679
2.82000,119.90793,30.16629,8.07798,-1.48365,0.22036,0.04206
2.83000,120.04041,30.03985,7.66377,-1.38552,0.20307,0.03849
2.84000,120.19799,30.18677,7.85831,-1.74326,0.17755,0.04591
2.85000,120.10412,29.97160,7.42202,-2.03685,0.20384,0.04221
2.86000,119.97885,29.99807,7.77290,-1.61024,0.19948,0.03375
2.87000,120.00392,30.16269,7.83795,-1.80022,0.18343,0.04926
2.88000,119.90262,30.06724,7.82228,-1.94111,0.18754,0.02182
2.89000,120.04423,30.11998,7.91223,-1.91063,0.17819,0.04414
2.90000,119.96057,30.07257,7.63466,-1.88056,0.19790,0.03427
2.91000,119.99337,30.10660,7.71958,-2.12427,0.20639,0.02664
2.92000,119.98357,29.99774,7.53279,-2.03262,0.22073,0.02481
2.93000,120.20659,29.99327,7.75063,-2.49837,0.20346,0.03219
2.94000,120.07252,30.10396,7.39360,-2.04393,0.21693,0.03651
2.95000,119.91815,30.04230,7.70064,-2.09376,0.19125,0.01668
2.96000,120.06032,29.98243,7.96550,-2.24100,0.21766,0.03556
2.97000,120.06836,30.09480,7.87021,-2.40278,0.20378,0.04435
2.98000,120.04089,30.21605,7.70300,-2.35695,0.20391,0.02799
2.99000,120.12418,30.12875,7.97365,-2.54712,0.19288,0.02627
3.00000,119.99220,30.06855,7.46408,-2.53768,0.21871,0.03159
3.01000,120.07296,30.14349,7.75872,-2.88037,0.20377,0.01989
3.02000,119.98244,30.09773,7.42851,-2.45179,0.19568,0.01115
3.03000,119.98038,30.15959,7.70784,-2.45051,0.19824,0.03945
3.04000,120.12722,30.11720,7.34797,-2.65629,0.17873,0.02781
3.05000,119.94252,30.08379,7.40805,-2.84097,0.21312,0.04135
3.06000,119.95158,30.03815,7.60150,-2.55335,0.19886,0.02145
3.07000,120.04724,30.12210,7.60299,-2.69198,0.20355,0.00921
3.08000,120.17354,29.99300,7.22254,-2.90287,0.21062,0.00860
3.09000,119.96399,30.16217,7.43903,-3.01403,0.22630,0.01358
3.10000,119.84564,30.09748,7.78722,-2.99097,0.20552,0.02112
3.11000,120.08866,30.04121,7.69113,-3.00264,0.20853,0.00972
3.12000,119.77549,29.97130,7.41935,-3.01368,0.18122,0.01538
3.13000,120.18010,30.07533,7.56302,-2.99662,0.19909,0.02294
3.14000,119.86325,30.28830,7.46165,-3.28444,0.17331,0.03001
3.15000,119.93948,30.10978,7.32376,-3.34094,0.18402,0.00361
3.16000,120.14167,30.00103,7.34585,-3.05888,0.21056,0.02106
3.17000,120.18458,30.03175,7.45761,-3.30476,0.19093,0.02926
3.18000,119.96747,30.20676,7.30165,-3.43108,0.19661,0.01396
3.19000,119.99806,30.13754,7.36763,-3.35714,0.20444,0.03632
3.20000,120.05923,30.09693,7.22739,-3.40563,0.18884,-0.00004
3.21000,120.04073,30.26756,7.17263,-3.48921,0.18462,0.00190
3.22000,120.19278,30.00071,7.33244,-3.43448,0.22089,0.00171
3.23000,120.18142,29.97371,7.78461,-3.41638,0.22065,-0.00164
3.24000,120.18533,30.14265,7.12456,-3.59085,0.17688,0.01126
3.25000,120.07371,30.15842,6.82737,-3.77046,0.21525,0.00788
3.26000,120.02068,30.12473,7.23012,-3.52576,0.19811,0.01729
3.27000,119.98109,30.15646,6.94453,-3.44225,0.19755,0.02313
3.28000,120.23286,30.01172,7.03095,-3.86109,0.19576,0.01836
3.29000,120.04058,30.13833,7.29631,-3.70190,0.21741,0.00766
3.30000,120.05616,30.23659,7.06591,-3.80745,0.18124,0.00858
3.31000,120.16959,30.19835,6.80857,-3.84948,0.18133,-0.00375
3.32000,120.05775,30.19532,7.05019,-3.94222,0.20455,0.00402
3.33000,120.00072,30.10408,7.04000,-3.88928,0.18145,0.00551
3.34000,119.97381,30.09268,6.59075,-4.13380,0.17498,0.00660
3.35000,120.12020,30.08427,6.72434,-3.84322,0.18253,-0.02336
3.36000,120.16357,30.06609,6.54633,-4.28391,0.19970,-0.01108
3.37000,120.03443,30.06202,6.82801,-4.09066,0.18360,-0.00914
3.38000,120.08411,30.03519,7.05677,-4.33573,0.19784,0.00000
3.39000,120.10345,30.14950,6.65617,-4.16005,0.18210,-0.01551
3.40000,120.00425,30.09542,6.76109,-4.22000,0.19894,0.01036
3.41000,120.11710,30.20278,6.79511,-4.21614,0.19464,-0.00615
3.42000,119.83130,30.00380,6.58306,-4.17682,0.20474,0.00790
3.43000,120.02569,30.22610,6.84558,-4.63248,0.18148,-0.04512
3.44000,120.15812,29.93540,6.66066,-4.67529,0.17894,-0.02143
3.45000,119.92839,30.02430,6.52313,-4.75394,0.19665,-0.01433
3.46000,119.91650,30.04884,6.61492,-4.49639,0.18487,-0.01302
3.47000,120.06243,30.17173,6.44029,-4.89186,0.20078,-0.02140
3.48000,120.06826,29.97975,6.63900,-4.61532,0.19534,-0.01913
3.49000,120.01026,30.05227,6.38551,-4.45560,0.16982,-0.02258
3.50000,120.04292,30.03590,6.49602,-4.54736,0.20781,-0.00180
3.51000,119.95079,30.00470,6.47391,-4.82336,0.19382,-0.02234
3.52000,120.12842,30.11416,6.36516,-4.70953,0.19441,0.00174
3.53000,120.05482,29.94926,6.38066,-4.66226,0.19803,-0.03311
3.54000,119.96401,30.16716,6.33031,-4.57570,0.18816,-0.01030
3.55000,120.03125,30.18949,6.60172,-4.97423,0.17514,-0.00133
3.56000,120.09618,30.04770,6.21225,-5.08336,0.18856,-0.01217
3.57000,120.08959,30.04501,5.96414,-5.15450,0.18000,-0.01582
3.58000,120.08638,30.07174,6.26763,-5.24504,0.18838,0.01383
3.59000,120.06482,30.13901,6.10443,-5.07730,0.17217,-0.02132
3.60000,120.05780,30.09244,6.30928,-5.08048,0.18846,-0.02719
3.61000,120.21979,30.12521,5.89648,-5.13218,0.17036,-0.01993
3.62000,120.09464,30.07110,6.33321,-5.36233,0.18250,-0.01840
3.63000,119.99284,30.01854,6.29131,-5.25717,0.17650,-0.03800
3.64000,120.01995,30.06280,5.98554,-5.39654,0.16589,-0.01627
3.65000,120.22193,29.95862,5.87571,-5.46068,0.19072,0.00621
3.66000,120.22493,30.18833,6.22729,-5.25981,0.16298,-0.01112
3.67000,120.21383,30.11655,5.94889,-5.51997,0.17327,-0.03344
3.68000,120.04843,30.19122,6.06352,-5.29021,0.18105,-0.03275
3.69000,120.03631,30.12597,5.86089,-5.33871,0.16949,-0.02058
3.70000,120.09363,30.06039,5.88347,-5.39701,0.16114,-0.02203
3.71000,120.22647,30.09641,5.95142,-5.50717,0.15013,-0.01379
3.72000,120.03189,30.11953,5.58835,-5.47105,0.16447,-0.04229
3.73000,119.87805,30.18101,5.74650,-5.48460,0.17292,-0.01441
3.74000,120.05987,30.10894,5.60700,-5.47403,0.15650,-0.02017
3.75000,119.92263,30.05434,5.82481,-5.61215,0.17150,-0.05336
3.76000,120.15181,30.10304,5.49146,-5.59300,0.16076,-0.03621
3.77000,119.87670,30.15799,5.52870,-5.65852,0.17685,-0.03400
3.78000,119.92400,30.10034,5.42425,-5.93895,0.17123,-0.04845
3.79000,120.05546,30.11660,5.48765,-5.68987,0.16300,-0.04179
3.80000,120.05740,30.11518,5.34962,-5.86697,0.16206,-0.03729
3.81000,120.08021,30.06794,5.77015,-5.98988,0.19686,-0.02278
3.82000,120.16367,30.10993,5.08658,-5.80100,0.18620,-0.02802
3.83000,120.16343,30.11181,5.15919,-5.89223,0.17781,-0.02190
3.84000,120.02516,30.08721,4.93565,-6.05120,0.17571,-0.02047
3.85000,119.94024,30.03459,5.34053,-6.02060,0.17060,-0.02500
3.86000,119.88479,30.14497,5.35625,-5.87090,0.18143,-0.02424
3.87000,119.99902,30.11260,4.72350,-5.94959,0.15587,-0.04853
3.88000,120.13375,30.06490,4.98523,-6.14641,0.17921,-0.05314
3.89000,120.03148,30.05777,5.27864,-6.21335,0.18152,-0.04375
